Customer Review,Date Of Stay,Customer Rating,Owner Responded
extraordinary hotels ive stayed service kind professional simply impeccable starting entry way entirety stay departure rooms facilities immaculate luxurious dining rooms offer delicious varied food disappointed stay new,11/22,Excellent,True
unbelievable service beautiful staff attentive going feel welcome accommodate requests treat stay,11/22,Excellent,True
like hotels pillow menu outstanding bath body products room lovely staff indian restaurant excellent booked abercrombie kent trip,11/22,Excellent,True
amazing stay amazing staff arrived 15 month old daughter lennon greeted love kindness left treasure gifts left share memories uma mohit went grateful kind hearts clean breakfast buffett best definitely booking thank,10/22,Excellent,True
enjoyed minute stay beautiful food fantastic service great check check went smooth roma clean new impressed good quality air inside slept like babies new doubt best place stay thank great memories,11/22,Excellent,True
stay gratitude respect team oberois new splendid experience place different vibe elevates level institution inspires loyalty oberois brand experience believe words,11/22,Excellent,True
attention little thats touch lovely little girl went way things liked fabulous property great amenities food service,11/22,Excellent,True
perfect especially hospitality expected chain sanath desk absolutely lovely check process super smooth coming doubt,11/22,Excellent,True
super experience bar lovely evening great service lovely selection food cocktails perfect ambience getawaysmade day great location viewappetizers cocktails goodcourteous staff nice music,10/22,Excellent,True
wonder new won best city hôtel asia award deserved considering institution establishment runs like oiled machine ticking boxes surpassing expectations stayed family winter 2019 loved moment want long journey states visit brief late arrival ranthambore early departure iconic amarvilas agra love particular got upgraded massive super royal suite learned literally moment stepped beautiful vehicle charismatic gentleman sayandeep hope spelled,11/22,Excellent,True
quiet rooms amazing sleep staff helpful courteous great experience definitely return accommodated requests matter minute smiling cheerful located quiet area centred rooms clean service quick perfect,11/22,Excellent,True
nice comfortable wonderful restaurants great pool fitness staff amazing general manager came greet felt personal attention staff nice shops site great services offered nice view overlooking forest quiet fresh air,09/22,Excellent,True
amazing stay beautiful experience beautiful staff area helpful deserves appreciation definitely coming menu nicely curated specially baoshuan special mention anmol nupur desk helpful late night smiling warm,11/22,Excellent,True
mexican couple recently trip heard best hotels world oberois having travelled world stayed good hotels impressed perspective butsurprise hands best service attention experienced warmth details super personal attention going day demanding expectation makes best known thanks forget,10/22,Excellent,True
having coming child obvious choice recent honeymoon saved daughters toy rabbit sent home dhl service experience perfect house rooms restaurants remain,09/22,Excellent,True
staff informed warm ready help food good room nice comfortable enjoyed stay recommend whos looking stay 2 day trip,10/22,Excellent,True
expert comfortable staff trained remember ms manish ms pem excellent restaurant team reception team,10/22,Excellent,True
fiancé stayed days end october 2022 time summarize nicest hospitality experienced nicest stayed years travel arrival staff gave warm thoughtful greeting airport checkin flawless room romantically prepared celebrate recent engagement woke multiple mornings partake athletic activities guided 7 yoga classes exercise spacious luxurious fitness center stay numerous phenomenal brunches included 360 buffet evenings soaked unparalleled new views rooftop bar,10/22,Excellent,True
recently stayed couple days entire experience right airport transfers mercedes checking stay food finally checkout delightful food awesome especially north indian cuisines overall highly recommended place,10/22,Excellent,True
incredible attentive service unmatched business travels asia especially bell boys dining house keepingbutler services worldclass beautiful property thought recommend time business leisurextravel,10/22,Excellent,True
business trip husband wonderful experience exploring beautiful staff lovely extremely attentive needs look forward returning staying happy diwali,10/22,Excellent,True
hospitality good courteous staff breakfast excellent like come recommend fri3nds family chafer courteous service good concierge helpful thank,10/22,Excellent,True
akshat given warm friendly welcome beautiful escorting bedroom explaining use facilities ordering tea refreshments impressed amazing experience warm friendly polite welcome chauffeur driven driver dinesh beautiful car talking historic buildings surrounding new gorgeous green city thank,10/22,Excellent,True
im writing review 360 food delicious certain food customisation requirements taken care mr tanmay staff hospitable time serve care need great experience overall,09/22,Excellent,True
recently stayed fantastic tail tour golden triangle staff credit brand went way stay memorable celebrating wedding anniversary staff occasion special felt like peaceful oasis middle chaotic bustling rooms generous size appointed bathroom spacious generous bathtub room service breakfast good breakfast included room rate order menu enjoy buffet wait staff recommendations local breakfast options dis disappoint usual western options good ate,09/22,Excellent,True
wonderful visit seeing renovated òberòi favourite place 50 years rooms extremely latest technology help guests staff superb specially mr vinayak inder ji cashiers nanki restaurant varun 360,10/22,Excellent,True
stunning room impeccable service air quality decor outstanding beautiful pool restaurants thank food excellent retail excellent care team outstanding thank thank,10/22,Excellent,True
uniworld trip package driver picked luxury car complete water snacks informative driving past way arrival welcomed given lei lovely young lady walked room spacious beautiful complimentary breakfast amazing lots choices delicious recommend complimentary cocktail hour food,10/22,Excellent,True
stay exceptional attentiveness staff beautiful rooms outstanding food experience enhanced visit wont wrong staying,10/22,Excellent,True
finest city visited service perfect checkin butler launder wrinkled clothes room service dining use business center 530am breakfast,10/22,Excellent,True
new class apart check exit warmth staff blows away comparison attentiveness staff quality food comfort room taj mansingh towers taj choose stay booked room way till february trips,10/22,Excellent,True
truly 5 star experience stayed 5 hotels travels 30 days hotels unparalleled service ruined know compare hotels stay special boutique brand pros stayed 5 hotels received discount traveling direct booking package check website offers upgraded suite checkin general manager onsite greet ensure enjoyable stay amazing variety breakfast buffet la cart menu drinks comfortable rooms beds turndown service excellent michelin star restaurants onsite recently renovated nice pool spa services recommend stay,05/22,Excellent,True
outstanding service taken care moment arrived airport left took care needs highly recommend visiting dehli time,10/22,Excellent,True
visiting expected ibrahim young team thrive excellence guest comfort fantastic service provided visit cheers best luck best team,09/22,Excellent,True
happy come taste food chef taste amazing service fabulous best provides world class service love come mrsushen mittal,10/22,Excellent,True
time long flight ny chaotic immigration check better generous prompt welcome offered immediately professional staff driver met airport called advance prepare arrival sent rooms completed quick efficient checkin bell hop brought luggage little attention experience special including putting room immediately friends room connecting door view room tranquil overlooking impressive fountain looked forward delicious breakfast spread morning whilst adjusting jet lag,10/22,Excellent,True
service different great place stay occasion business family trip highly recommended special mention karuna sales director vinayak operations entire team,10/22,Excellent,True
new experience new special thanks mr karan housekeeping team making stay comfortable thanks stay pleasant easily accessible good excellent location wonderful breakfast ala carte bit expensive soon,10/22,Excellent,True
wonderful stay property surely trip food selection location property services great shrishti buttlers kind professional recommend property town wants experience luxury best,09/22,Excellent,True
staying year home kind generous knows special shoutout meenakshi know eat eat stayed hotels experience far best experienced,09/22,Excellent,True
came 2 years service warmth stays staff impeccable service definitely time spa beautiful look forward soon thankyou,10/22,Excellent,True
vacation stayed nights rooms big modern clean staff service little extra stay comfortable took soaking wet shoes dry unsolicited breakfast good diverse tried asian indian restaurant food quality great roof terrace bar offers nice view pleasant place end hectic day city sun setting gate,10/22,Excellent,True
amazing stay service excellent single person staff caring professional mention lovely ishika house keeping adorable efficient member team manager drivers perfect thank care,10/22,Excellent,True
excellent service great hospitality unbelievable food beverage real delicious order food listed menu bedroom choices pillow suit neck special thank housekeeping team alot effort room clean smile time,10/22,Excellent,True
amazing staying years havent gone wrong years nephew niece big fans dont forget try rooftop bar psask golf course facing rooms,09/22,Excellent,True
provides maximum comfort whcih stems courtesy staff extremely professional polsihed trained team assistant drop hat love,10/22,Excellent,True
personally dine restaurants loved staff baoshuan 5 star service concerne order personal care guest indian food omya highly recommended amazing service housekeeping staff amazing thier best hygene ots best,08/22,Excellent,True
pleasure stay new staff generous friendly professional sure stay comfortable exceeds expectations sure best,10/22,Excellent,True
wonderful stay new highly recommend staff desk kind generous wonderful service restaurants amazing food 360 service pools amazing staff helpful specifically desk mohit bhasin adarsh zaid diksha helpful divyansh concierge helped wonderful restaurants city,09/22,Excellent,True
favourite hotels ncr great t needs looked courteous warm staff clean sanitised rooms impeccable food service 360 special mention duty manager meher makes sure stay looked,09/22,Excellent,True
thanku services guys enjoyed stay best quality staffs ready box stay comfortable quality food amazing fantastic experience overall hope soon,09/22,Excellent,True
fabulous location ideal breakfast spread incredible cirrus 9 rooftop best views service remains unmatched best hands look,09/22,Excellent,True
best servive staff shoutout duty manager thursday nights going expectations like especially exquisite service hope hotels catch,10/22,Excellent,True
visited patisserie new friend delighted lovely decor service blueberry cheesecake right texture friend tea exquisite selection hit right notes visit definitely repeat list,02/22,Excellent,True
delight come 360 time warm wife welcomed meher reception service courteous exceptional come cup coffee 360 leaving met meher great knowledge city felt good know people like group stand surely come soon best wishes team,10/22,Excellent,True
hotels vibe ambience good best experienced staff members ready work given time best guest cleanliness room washrooms lobby 1010 food lot cuisines try,07/22,Excellent,True
represent best worldclass hospitality pampered guests excellent care fantastic foods fantastic facilities awesome staffs great environment visit true icon,10/22,Excellent,True
great stay amazing service recommend stay good place good service food amazing stayed 5 nights short amazing good service sachin vinaka,10/22,Excellent,True
staff amazing service politness mindblowing team desk cherry cake love visit property property cool ambience,10/22,Excellent,True
property recently owing business trip team property sure stay comfortable service efficient food surpassed taste great special mention sachin night manager concierge looked small requests stay comfortable,10/22,Excellent,True
astonishing best courteous staff right checkin checkout staff members makes feel like home away home excellent food quality ambience visit traveling exceptional hospitality,10/22,Excellent,True
great service ambience housekeeping team amazing wasnt keeping room dining team excellent taking care food preferences concierge team office team excellent feel like home excellent excellent service forget wait staff restaurant amazing courteous,10/22,Excellent,True
beautiful modern attentive staff welcoming environment felt taken care turn stay definitely,10/22,Excellent,True
recently attended business conference new admit welcoming experience ive luxury hospitality extended staff especially office phenomenal looking forward visiting guest soon,08/22,Excellent,True
visited oberois renovation swept feet new revamped look restaurants room totally 360 change staff welcoming stay memorable thanks team highly recommend looking stay luxurious experience prime location,10/22,Excellent,True
visited recently friends fantastic experience oldest classiest hotels got better renovations service food ambiance impeccable want experience luxury recommend 100100,10/22,Excellent,True
new far classy popular destination leisure business travellers hospitality warmth unmatched probably best property north,10/22,Excellent,True
stay oberon pandemic beautiful entire experience arrival departure flawless room incredibly comfortable attentive service highlight stay spa afternoon treatments heading evening flight wait return trip thank entire staff wonderful stay,09/22,Excellent,True
simply perfect visited obvious choice honeymoon despite modern exterior exudes warmth professionalism experienced appreciated staff course remembered dhl daughters toy rabbit london visited left visit honeymoon start end experience magical continue return,09/22,Excellent,True
amazing experience best team proactive things special like coming home greets smile extra mile thank,10/22,Excellent,True
new pillar hospitality havw seen perfect service hotels havent seen like definately comeback bring friends family thank team thabk,10/22,Excellent,True
checked day kids mother law excellent proactive service lilies stamens cut allergenic pools temperate squeaky clean anniversary got excellent chocolate cake rose petals room wonderful food 360 mother law got wonderful massage spa restful experience,10/22,Excellent,True
stayed 2 nights october yearhighly recommended property sidewarm welcome check room heaventhe swimming pool golf course visibleit spellboundthe tab room operating tvclosing blindsasking housekeeping staffs room cleaningor ordering water bottlesand request place attended 15 minutes exactly said delaysno lapses markon day bathtub accidentally spilled water roomthey cleaned smile face complaintsvisit hands,10/22,Excellent,True
stay perfect food service bao shan good better michelin starred restaurants arranging doctor suffering severe migraine ensuring tea pitch perfect felt home 1110,10/22,Excellent,True
great stay beautiful great food unbelievably friendly staff beautiful spacious rooms new exceeded expectations thanks especially sanath stay memorable,09/22,Excellent,True
brands reputation known visit property disappointed rooms furnished best wheelchair accessible bathrooms encountered impressive enjoyed dining options omya 360 cirrus 9 omya amazing service food ate breakfast 360 options plentiful service flawless cirrus 9 good wines ordered stock minor disappointment common luxury hotels spa striking services good real disappointment property outside pool wheelchair accessible path overall experienced,09/22,Excellent,True
outstanding service great room wonderful food spa amazing booked 4 nights excellent experience breakfast food service good room service outstanding room good maintained order favorite restaurants,09/22,Excellent,True
md mnc company stayed globe 5 star propertiesbut experience sublime start booking wrong dates went check date lapsed mr vinayak nayak assistant manager office heard comfortable knowing occasion gave good room decorated cake placed room entered kudos team god bless flag high institution cheers,09/22,Excellent,True
staff amazing particular enjoyed great service jenny bar tanmae restaurant tanmae went way morning order special indian breakfast items try private indian cooking lesson vinney delicious fun oasis refuge craziness city definitely recommend,09/22,Excellent,True
stays world class city rooms spacious immaculate service attentive intrusive restaurants serve delicious food 360 restaurant offers fine selection international cuisine clear management staff enjoy working manifests great customer service definitely stay,09/22,Excellent,True
lucky stay new times past wondering pandemic going month amazing expecting staff members know large number new staff members normally happened hotels stayed past drop service unbelievably staff better previous staff greeted door 400am morning 900am middle day whisked room check procedures immediately offered meal needed morning went breakfast finest,09/22,Excellent,True
amazing experience people great service quality site comfortable obviously caring rooms lovely anjali great housekeeper akshat good desk triambika concierge good,09/22,Excellent,True
amazing amazing room amazing staff loved restaurants wellgood breakfast got laundry pressed thats quick easyclothing picked minutes returned morning,09/22,Excellent,True
fabulous trip beautiful staff incredible upgraded free incredible suite nice hard leave visit went smoothly,09/22,Excellent,True
best experienced everytime come room got new small gesture houskeeping team guy called muddiy suprise feel happy thank u guys u guys u guys best,09/22,Excellent,True
hii went 360 degree date hospitality offered staff tanmay outstanding actually evening special thanks people looking forward making amazing memories soon,09/22,Excellent,True
moment step car greeted warmth staff stay perfect unlike ive experienced including premium properties asia cares little things makes staying seamless thoroughly enjoyable experience food property outstanding elaborate breakfast multiple restaurants ps smiling concierge help ii dont need stick ordering menu chef happy prepare special rissotto world,09/22,Excellent,True
imperial old world colonial charm beat amazing service check check service faultless staff went required testament fantastic training chinese food baoshan best chinese food years good fact ate couple times breakfast day dining large selection food excellent pick airport drivers cars excellent priced rooms huge manager kind upgrade brand new renovated rooms huge bathrooms bathrooms toto toilets baths service spa great nice,09/22,Excellent,True
superb accounts refined service immaculate property excellent food attention details friendliness impressed definitely place stay look,09/22,Excellent,True
5star divyansh oneinamillion outstanding divyansh new helped family build spectacular lifelong memories july 2022 grateful stay 3 hotels new rajasthan agra 5star treatment architecture unique distinct greeted amazing staff arrival staff engaging courteous provided delicious cold beverages warm face cloths lovely tikka blessing family entire staff friendliness deskconcierge chefs kitchen team waiterswaitresses set bar high delicious 5star cuisine offering,07/22,Excellent,True
new experience outstanding communications excellent welcome attention thoughtfulness food quality service room tastfully decorated room spectacular absolutely fault excited soon possible,09/22,Excellent,True
best provides world class service highly recommended ibrahim vinayak great looking good place stay place stay,09/22,Excellent,True
good business purposes amenities good stay consider property definitely edge terms good property,09/22,Excellent,True
excellent food excellent service special thanks mr tushar excellent host sure comfortable enjoyed evening came perfect gentleman great values kind explain origin dishes got son absolutely thrilled thanks,09/22,Excellent,True
stay number years definitely having disappointed recent stays leela palace decided try travelling business offered excellent package including breakfast wifi airport transfers airport pick smooth arriving middle night great room keys ready colleagues rooms spacious nicely equipped quiet plenty bottled water provided toiletries good quality plentiful breakfast 360 great criticism doesnt start 7 late gym good size variety equipment,09/22,Excellent,True
time new exceptional stays amazing come baffle leave happier time 360 desk spa places amazing come soon,09/22,Excellent,True
embodiment happy time amazing time life thank new experience shall soon colleagues friends life,09/22,Excellent,True
super comfortable luxurious check check ffecient quick service excellent people taking personal care housekeeping sending asked recommend comfort location service,09/22,Excellent,True
thought greeting airport wifi car smooth check process butler service arrival refreshment fresh flowers great breakfast buffet wonderful staff fun happy hour making birthday special stay notregret,09/22,Excellent,True
large room 8th floor beautiful view upgraded nice amenity bedroom bathroom thoughtfully provided service outstanding,09/22,Excellent,True
10 10 desk 10 10 room service 9 10 rooms 8 10 breakfast 10 10 amenities 10 10 staff general experience starts moment ur ur car desh literally zips u right room waiting formalities u sign formalities room room sparkling gadgets starting menu pad dind bathrooms room difficult manoeuvre staff takes cherry amazingly warm like 90s sta4 charm mention house keeping supervisor whos csnt recollect u prompt lightning small requirement room service unmatched desk staff best glaobally wud,08/22,Excellent,True
pleasure staying new rate best hotels world warm friendly staff restaurants nice health club facilities swimming pool excellent highly recommended boutique,09/22,Excellent,True
weve spent long time new leaving delighted truly bubble peace heart busy city room comfortable spectacular view pool hidden treasure golf city skyline miss caring efficient staff special thanks exceptional gym coach mr ashish panwar thanks support ive managed shape loose pounds,09/22,Excellent,True
amazing start finish staff absolutely amazing definitely returning ashish shivaj housekeeping amazing staff gym spa omya 5 stars,09/22,Excellent,True
stay wonderful customer care expectations starting reception dining spa services mention professional service driveranup prompt great care little surprises baochan restaurant greatly appreciated definitely repeat,09/22,Excellent,True
experience incredible devansh rishi hospitality felt comfortable excellent attention timing assistance closeness predisposition gratitude fell happy icing cake trip,09/22,Excellent,True
staff unmatched courtesy beautiful ambience state art facilities outstanding breakfast delectable inroom dining efficient business center support overall superb experience highly recommended,09/22,Excellent,True
hotels trade mark success deliver service highest possible level chain achieve high professional staff perfect amiability care beginning check dont notice accomplish needs premises highest possible level restaurants best town dont forget visit chinese baoshuanand god spa makes stay unforgettable rate worlds best city asia years,09/22,Excellent,True
service new totally unmatched enjoyed stay level soon definitely like mention sanathibrahimishita shashi omya im looking forward come colleagues bug thank,09/22,Excellent,True
absolutely fantastic experience guest rooms elegant modern amenities business centre best class staff able anticipate guests request serve smile truly epitomises oberois philosophy heart felt,08/22,Excellent,True
best prefer stay come service perfect fast ibrahim ji priyanka arjun chef bhumi vinayak extremely helpful great hospitality sachin concierge anup chauffeur thank,08/22,Excellent,True
great stay enjoyed stay home moment arrival minute place treated like royalty thankful dinner warm hospitality enjoyed served avocado toast yummy grilled salmon thank time generosity,09/22,Very Good,True
stay usual fantastic room cleanliness attention keeping good hygiene food 360 service arjun team tanmay nanki unparalleled fav quality food warmth vinayak dm nicest people helps ibrahim ensures room comfortable makes feel home jonaki alicia especially helpful woman traveller inder ji check asset institution,08/22,Excellent,True
simply blown away 6 night stay stayed luxury properties world rate oberoidelhi worlds best born grew leaving graduate school visit 31 years accompanied wife caucasian teenage daughters visiting time oberoidelhi trip flawless absolutely memorable arranged virtually logistics 14 day trip zaid bin kowsar eloni dikho defined outstanding concierge took care covid test day flights arriving flight sfo chauffeured 2 mercedes e class sedans 1 amthe rooms suites,12/21,Excellent,True
loved stay great hospitality choose stay regular guests continue great work amazing eye details,09/22,Excellent,True
partner best experience moment walked moment left hospitality attention service ambience importantly staff impeccable remember staff names nupur check lovely true hospitality ambassador miss love australia jamir hannah,09/22,Excellent,True
visited yesterday family great time great excellent staff service superb food looking forward visit surely recommend worth penny,09/22,Excellent,True
visited new family august excellent immensely hardworking team great service welcoming staff wonderful time definitely recommed,08/22,Excellent,True
came legal matters thank premium services comfortable arrangement breakfast organised behaviour staff reception guys cordial,09/22,Excellent,True
great excellent ambience great staff amazing rooms great view wrong temperature controlled pools miss customer service,08/22,Excellent,True
stayed weekend amazing amazing service best place ti enjoy weekend family friends thank taking good care soon,08/22,Excellent,True
came threesixty degree coffee mr tushar recommend high tea good service excellent great time snacks delicious bombay sandwich coffee scrumptious chocolate fudge cookies,08/22,Excellent,True
loved small details amenities matter overall experience lovely thing bothers assistance provided believe required im sure guests offer suggestion guest room self service,08/22,Very Good,True
match service warm hospitality leaves feeling special happy visit frequently booked events close guests amazing experience time special thanks mrarjun dewan 360 warm smile gives best good time cherished memories people went way ensure,08/22,Excellent,True
great experince apprehensive time post covid stay repairs experience confortable hospitable food especially room service presented hot delicious,08/22,Excellent,True
live travelled extensively past 20 years hotels truly offers 5star experience property beautiful drinks rooftop bar notch pool heated nicely landscaped food excellent staff helpful emailed concierge multiple times arrived advice things wanted city pleasant helpful believe property undergoing upgrades hallways somewhat dated rooms excellent took baths ive simply enjoy beautiful view huge window,08/22,Excellent,True
wonderful hospitality check check highly recommend lovely rooms outstanding service office warm welcoming extremely proactive breakfast truly delightful attentive staff come day,08/22,Excellent,True
lovely wonderful staff enjoyed stay definitely come restaurants beautiful indoor outdoor pool amazing room comfortable pleasant stay,08/22,Excellent,True
amazed wowed brand new exceeded expectations business trip feel like staff feel like family moment stepped moment stepped sanath lakhanpaul forget bonded conversations sri lanka senate things took care like gave recommendations restaurants caught attention praise individual thank new wonderful experience,08/22,Excellent,True
fantastic place occasion great meetings day relaxing special events achieves rare combination class comfort course entire experience underlain restaurants bars ranging 360 super good amazing staff keen sense club lounge perfect atmosphere business discussion cocktail sorry depart wait return goto,08/22,Excellent,True
360 restaurant restaurant start day best breakfast town amazing sunday brunch celebrate special occasion threesixty choice breakfast offers wish ranging great variety fresh pastries juices fruits salad cold cuts indian english asian breakfast la carte options special request sunday brunch perfect way spend afternoon buffet starters offers delicious choice appetisers salads time finished fantastic sushi prepared super talented chef adi team eaten im ready desserts,08/22,Excellent,True
delight visit 360 ambience food energy place perfect evening friends best course impeccable service thank lovely time,07/22,Excellent,True
great food service ambience views place place 360 degree restaurant new class calmness looks forward lazy extended meal,07/22,Excellent,True
360 restaurant finest restaurants visited going great ambience service food class apart time fantastic experience highly recommend,08/22,Excellent,True
superlative restaurant incredible service dish expansive menu bestinclass thoughtful staff great place wind long day luxury fivestar comfort home,08/22,Excellent,True
excellent food great cocktails great ambience importantly true service courtesy untiring efforts serve best 5 star 7 star congrats arjun tanmay team,08/22,Excellent,True
new familys favourite kid till date prefer celebrate special occasions particular 360 best multi cuisine restaurantcoffee shop vast variety menu lip smacking food wrong 360 manager arjun takes good care provides excellent service ambience beautiful sure pleasant experience way kudos arjun maintaining high standards consistently,08/22,Excellent,True
